mode,rank,world,dev,numa_node,mib,bytes_aligned,BW_GBps
1,6,8,6,0,0.250000,262144,11.741
1,3,8,3,0,0.250000,262144,10.639
1,2,8,2,0,0.250000,262144,10.115
1,4,8,4,0,0.250000,262144,11.244
1,0,8,0,0,0.250000,262144,10.736
1,7,8,7,0,0.250000,262144,11.351
1,1,8,1,0,0.250000,262144,12.822
1,5,8,5,0,0.250000,262144,20.478
1,0,8,0,0,0.500000,524288,9.061
1,4,8,4,0,0.500000,524288,10.294
1,1,8,1,0,0.500000,524288,8.884
1,5,8,5,0,0.500000,524288,10.480
1,7,8,7,0,0.500000,524288,10.243
1,2,8,2,0,0.500000,524288,8.817
1,3,8,3,0,0.500000,524288,9.264
1,6,8,6,0,0.500000,524288,43.980
1,0,8,0,0,1.000000,1048576,12.214
1,1,8,1,0,1.000000,1048576,11.772
1,7,8,7,0,1.000000,1048576,11.772
1,5,8,5,0,1.000000,1048576,12.234
1,3,8,3,0,1.000000,1048576,12.092
1,4,8,4,0,1.000000,1048576,12.707
1,2,8,2,0,1.000000,1048576,12.345
1,6,8,6,0,1.000000,1048576,36.725
1,0,8,0,0,2.000000,2097152,19.398
1,3,8,3,0,2.000000,2097152,18.310
1,1,8,1,0,2.000000,2097152,18.750
1,5,8,5,0,2.000000,2097152,16.734
1,4,8,4,0,2.000000,2097152,17.002
1,7,8,7,0,2.000000,2097152,16.718
1,2,8,2,0,2.000000,2097152,20.358
1,6,8,6,0,2.000000,2097152,17.918
1,0,8,0,0,4.000000,4194304,40.044
1,1,8,1,0,4.000000,4194304,40.072
1,3,8,3,0,4.000000,4194304,36.825
1,2,8,2,0,4.000000,4194304,40.029
1,5,8,5,0,4.000000,4194304,24.477
1,4,8,4,0,4.000000,4194304,25.270
1,6,8,6,0,4.000000,4194304,22.501
1,7,8,7,0,4.000000,4194304,22.659
1,0,8,0,0,8.000000,8388608,53.363
1,1,8,1,0,8.000000,8388608,53.231
1,3,8,3,0,8.000000,8388608,52.365
1,2,8,2,0,8.000000,8388608,52.377
1,4,8,4,0,8.000000,8388608,25.129
1,5,8,5,0,8.000000,8388608,25.455
1,6,8,6,0,8.000000,8388608,23.317
1,7,8,7,0,8.000000,8388608,23.621
1,0,8,0,0,16.000000,16777216,54.997
1,3,8,3,0,16.000000,16777216,54.937
1,7,8,7,0,16.000000,16777216,54.842
1,1,8,1,0,16.000000,16777216,54.826
1,2,8,2,0,16.000000,16777216,54.343
1,4,8,4,0,16.000000,16777216,32.604
1,5,8,5,0,16.000000,16777216,32.813
1,6,8,6,0,16.000000,16777216,30.283
1,0,8,0,0,32.000000,33554432,55.004
1,1,8,1,0,32.000000,33554432,54.933
1,3,8,3,0,32.000000,33554432,54.511
1,2,8,2,0,32.000000,33554432,54.442
1,4,8,4,0,32.000000,33554432,25.114
1,5,8,5,0,32.000000,33554432,25.179
1,6,8,6,0,32.000000,33554432,23.635
1,7,8,7,0,32.000000,33554432,23.619
1,0,8,0,0,64.000000,67108864,55.227
1,1,8,1,0,64.000000,67108864,55.190
1,2,8,2,0,64.000000,67108864,54.610
1,3,8,3,0,64.000000,67108864,54.685
1,4,8,4,0,64.000000,67108864,24.967
1,5,8,5,0,64.000000,67108864,25.115
1,7,8,7,0,64.000000,67108864,23.324
1,6,8,6,0,64.000000,67108864,23.391
1,0,8,0,0,128.000000,134217728,54.592
1,1,8,1,0,128.000000,134217728,54.568
1,3,8,3,0,128.000000,134217728,52.086
1,2,8,2,0,128.000000,134217728,52.206
1,5,8,5,0,128.000000,134217728,24.999
1,4,8,4,0,128.000000,134217728,25.080
1,7,8,7,0,128.000000,134217728,23.107
1,6,8,6,0,128.000000,134217728,23.528
1,0,8,0,0,256.000000,268435456,48.300
1,3,8,3,0,256.000000,268435456,43.525
1,1,8,1,0,256.000000,268435456,48.821
1,2,8,2,0,256.000000,268435456,44.464
1,6,8,6,0,256.000000,268435456,26.958
1,5,8,5,0,256.000000,268435456,27.060
1,4,8,4,0,256.000000,268435456,27.058
1,7,8,7,0,256.000000,268435456,25.501
1,0,8,0,0,512.000000,536870912,44.340
1,1,8,1,0,512.000000,536870912,44.461
1,3,8,3,0,512.000000,536870912,39.927
1,2,8,2,0,512.000000,536870912,40.185
1,5,8,5,0,512.000000,536870912,24.976
1,4,8,4,0,512.000000,536870912,24.991
1,6,8,6,0,512.000000,536870912,23.452
1,7,8,7,0,512.000000,536870912,23.467
