mode,rank,world,dev,numa_node,mib,bytes_aligned,BW_GBps
2,2,8,2,0,0.250000,262144,35.201
2,0,8,0,0,0.250000,262144,36.179
2,4,8,4,0,0.250000,262144,33.138
2,6,8,6,0,0.250000,262144,33.064
2,5,8,5,0,0.250000,262144,34.598
2,3,8,3,0,0.250000,262144,35.957
2,7,8,7,0,0.250000,262144,36.241
2,1,8,1,0,0.250000,262144,35.503
2,0,8,0,0,0.500000,524288,43.227
2,2,8,2,0,0.500000,524288,43.524
2,5,8,5,0,0.500000,524288,42.567
2,6,8,6,0,0.500000,524288,36.518
2,7,8,7,0,0.500000,524288,44.010
2,4,8,4,0,0.500000,524288,39.113
2,1,8,1,0,0.500000,524288,43.453
2,3,8,3,0,0.500000,524288,43.782
2,2,8,2,0,1.000000,1048576,47.913
2,7,8,7,0,1.000000,1048576,45.403
2,5,8,5,0,1.000000,1048576,45.020
2,1,8,1,0,1.000000,1048576,47.378
2,4,8,4,0,1.000000,1048576,40.778
2,6,8,6,0,1.000000,1048576,38.801
2,0,8,0,0,1.000000,1048576,48.084
2,3,8,3,0,1.000000,1048576,48.079
2,2,8,2,0,2.000000,2097152,49.983
2,1,8,1,0,2.000000,2097152,48.883
2,3,8,3,0,2.000000,2097152,45.541
2,4,8,4,0,2.000000,2097152,44.276
2,6,8,6,0,2.000000,2097152,40.044
2,0,8,0,0,2.000000,2097152,51.430
2,7,8,7,0,2.000000,2097152,50.311
2,5,8,5,0,2.000000,2097152,51.814
2,2,8,2,0,4.000000,4194304,53.065
2,0,8,0,0,4.000000,4194304,53.150
2,5,8,5,0,4.000000,4194304,45.821
2,7,8,7,0,4.000000,4194304,41.591
2,4,8,4,0,4.000000,4194304,40.479
2,6,8,6,0,4.000000,4194304,36.494
2,1,8,1,0,4.000000,4194304,52.494
2,3,8,3,0,4.000000,4194304,51.845
2,0,8,0,0,8.000000,8388608,53.580
2,2,8,2,0,8.000000,8388608,51.109
2,1,8,1,0,8.000000,8388608,51.279
2,3,8,3,0,8.000000,8388608,47.066
2,5,8,5,0,8.000000,8388608,42.295
2,4,8,4,0,8.000000,8388608,37.338
2,6,8,6,0,8.000000,8388608,32.907
2,7,8,7,0,8.000000,8388608,38.365
2,0,8,0,0,16.000000,16777216,50.629
2,1,8,1,0,16.000000,16777216,48.540
2,2,8,2,0,16.000000,16777216,45.888
2,3,8,3,0,16.000000,16777216,44.565
2,5,8,5,0,16.000000,16777216,37.957
2,4,8,4,0,16.000000,16777216,34.793
2,7,8,7,0,16.000000,16777216,33.603
2,6,8,6,0,16.000000,16777216,31.565
2,2,8,2,0,32.000000,33554432,42.352
2,0,8,0,0,32.000000,33554432,47.115
2,1,8,1,0,32.000000,33554432,46.073
2,3,8,3,0,32.000000,33554432,42.077
2,5,8,5,0,32.000000,33554432,31.201
2,4,8,4,0,32.000000,33554432,30.473
2,7,8,7,0,32.000000,33554432,27.730
2,6,8,6,0,32.000000,33554432,27.230
2,5,8,5,0,64.000000,67108864,42.135
2,0,8,0,0,64.000000,67108864,49.980
2,2,8,2,0,64.000000,67108864,45.442
2,3,8,3,0,64.000000,67108864,44.952
2,4,8,4,0,64.000000,67108864,37.611
2,1,8,1,0,64.000000,67108864,50.821
2,7,8,7,0,64.000000,67108864,33.578
2,6,8,6,0,64.000000,67108864,46.392
2,0,8,0,0,128.000000,134217728,45.333
2,1,8,1,0,128.000000,134217728,45.348
2,3,8,3,0,128.000000,134217728,40.812
2,2,8,2,0,128.000000,134217728,41.271
2,4,8,4,0,128.000000,134217728,25.329
2,5,8,5,0,128.000000,134217728,25.699
2,6,8,6,0,128.000000,134217728,23.377
2,7,8,7,0,128.000000,134217728,23.612
2,0,8,0,0,256.000000,268435456,44.016
2,1,8,1,0,256.000000,268435456,43.922
2,2,8,2,0,256.000000,268435456,39.784
2,3,8,3,0,256.000000,268435456,39.746
2,5,8,5,0,256.000000,268435456,25.092
2,4,8,4,0,256.000000,268435456,25.060
2,6,8,6,0,256.000000,268435456,23.486
2,7,8,7,0,256.000000,268435456,23.493
2,0,8,0,0,512.000000,536870912,43.886
2,1,8,1,0,512.000000,536870912,43.838
2,2,8,2,0,512.000000,536870912,39.662
2,3,8,3,0,512.000000,536870912,39.707
2,4,8,4,0,512.000000,536870912,24.947
2,5,8,5,0,512.000000,536870912,24.937
2,6,8,6,0,512.000000,536870912,23.377
2,7,8,7,0,512.000000,536870912,23.406
